id,created_at,full_text,media,screen_name,name,profile_image_url,user_id,in_reply_to,retweeted_status,quoted_status,media_tags,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url,clean_text,sentiment_label,sentiment_score,theme,urgent,has_media,text_length
1916215857920778705,2025-04-26 21:40:36 +02:00,"@Freebox Bonsoir free, un problème dans le sud ouest ce soir? Ni fibre ni 5g sur ascain/hendaye ce soir",[],Sjk242,Sjk24,https://pbs.twimg.com/profile_images/1091383266299596801/Bs36L1N8_normal.jpg,1091361806503813121,,,,[],0,0,0,0,2,160.0,False,False,False,https://twitter.com/Sjk242/status/1916215857920778705,"Bonsoir free, un problme dans le sud ouest ce soir? Ni fibre ni 5g sur ascain/hendaye ce soir",positif,0.5106,reseau,False,False,93
1916505335193370887,2025-04-27 16:50:53 +02:00,Bravo @free je suis déçu après tant d’années chez vous. Votre technicien « Premium » soi-disant me demande d’acheter un cpl pour avoir une connexion tv fiable alors que j’ai la fibre. J’ai pris la nouvelle box et je regrette déjà. Je vais partir chez un concurrent malheureusement,[],HabbadiItab,itab,https://pbs.twimg.com/profile_images/1527681990211821568/IhibBgga_normal.jpg,474330171,,,,[],0,0,0,0,1,375.0,False,False,False,https://twitter.com/HabbadiItab/status/1916505335193370887,Bravo je suis du aprs tant dannes chez vous. Votre technicien Premium soi-disant me demande dacheter un cpl pour avoir une connexion tv fiable alors que jai la fibre. Jai pris la nouvelle box et je regrette dj. Je vais partir chez un concurrent malheureusement,neutre,0.0,equipement;reseau,False,False,260
1916752196546240600,2025-04-28 09:11:49 +02:00,Euuuuuh @free @Xavier75 pourquoi j’ai plus du tout internet depuis hier soir?,[],ThomasTriger,Bzz Bzz 🐝,https://pbs.twimg.com/profile_images/1674321148547407874/p7M5aD2L_normal.jpg,1043908728867762181,,,,[],0,0,0,0,1,287.0,False,False,False,https://twitter.com/ThomasTriger/status/1916752196546240600,Euuuuuh pourquoi jai plus du tout internet depuis hier soir?,negatif,-0.128,reseau,True,False,60
1916775210079973705,2025-04-28 10:43:16 +02:00,"⸻\n\nBonjour @Freebox\nClient Free, ma prise fibre (PTO) n’est toujours pas raccordée malgré mes relances.\nJ’aimerais éviter de changer d’opérateur.\nMerci de m’apporter une solution rapide. #Freebox #Fibre",[],Ax0sPie,Axel Pierens,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1864918455528415232,,,,[],0,0,0,0,1,332.0,False,False,False,https://twitter.com/Ax0sPie/status/1916775210079973705,"\n\nBonjour \nClient Free, ma prise fibre (PTO) nest toujours pas raccorde malgr mes relances.\nJaimerais viter de changer doprateur.\nMerci de mapporter une solution rapide. #Freebox #Fibre",positif,0.6808,equipement;reseau,False,False,190
1916813909484359841,2025-04-28 13:17:03 +02:00,"@MaximeCulea Bonjour,\n\nLa messagerie privée X n’est plus disponible, et nous en sommes désolés. \nRetrouvez-moi dès à présent sur Messenger :\n▶️ https://t.co/YWuPBmfzPB\n\nNous sommes également disponibles via d'autres canaux :\n▶️ https://t.co/K6bqj9pdgD\n\nMaxime - Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1.916075004074115e+18,,,[],0,0,0,0,1,62.0,False,False,False,https://twitter.com/Freebox/status/1916813909484359841,"Bonjour,\n\nLa messagerie prive X nest plus disponible, et nous en sommes dsols. \nRetrouvez-moi ds prsent sur Messenger :\n sommes galement disponibles via d'autres canaux :\n - Free",positif,0.5106,autre,False,False,183
1916814755836182714,2025-04-28 13:20:25 +02:00,"@Yann867592 Bonjour,\n\nLa messagerie privée X n’est plus disponible, et nous en sommes désolés. \nRetrouvez-moi dès à présent sur Messenger :\n▶️ https://t.co/foZUyQkGH3\n\nNous sommes également disponibles via d'autres canaux :\n▶️ https://t.co/3Rzd3llaL8\n\nMaxime - Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1.9161995924099282e+18,,,[],0,0,0,0,0,209.0,False,False,False,https://twitter.com/Freebox/status/1916814755836182714,"Bonjour,\n\nLa messagerie prive X nest plus disponible, et nous en sommes dsols. \nRetrouvez-moi ds prsent sur Messenger :\n sommes galement disponibles via d'autres canaux :\n - Free",positif,0.5106,autre,False,False,183
1916815115929743765,2025-04-28 13:21:50 +02:00,"@Sjk242 Bonjour,\n\nLa messagerie privée X n’est plus disponible. \n\nSi le problème est toujours d'actualité, retrouvez-moi dès à présent sur Messenger :\n▶️ https://t.co/foZUyQkGH3\n\nNous sommes également disponibles via d'autres canaux :\n▶️ https://t.co/3Rzd3llaL8\n\nMaxime - Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1.9162158579207788e+18,,,[],0,0,0,0,1,92.0,False,False,False,https://twitter.com/Freebox/status/1916815115929743765,"Bonjour,\n\nLa messagerie prive X nest plus disponible. \n\nSi le problme est toujours d'actualit, retrouvez-moi ds prsent sur Messenger :\n sommes galement disponibles via d'autres canaux :\n - Free",positif,0.5106,autre,False,False,199
1916816050730975256,2025-04-28 13:25:33 +02:00,"@HabbadiItab Bonjour,\n\nLa messagerie privée X n’est plus disponible, et nous en sommes désolés. \nRetrouvez-moi dès à présent sur Messenger :\n▶️ https://t.co/foZUyQkGH3\n\nNous sommes également disponibles via d'autres canaux :\n▶️ https://t.co/3Rzd3llaL8\n\nMaxime - Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1.916505335193371e+18,,,[],0,0,0,0,0,293.0,False,False,False,https://twitter.com/Freebox/status/1916816050730975256,"Bonjour,\n\nLa messagerie prive X nest plus disponible, et nous en sommes dsols. \nRetrouvez-moi ds prsent sur Messenger :\n sommes galement disponibles via d'autres canaux :\n - Free",positif,0.5106,autre,False,False,183
1916820292158021840,2025-04-28 13:42:25 +02:00,"Bonjour ThomasTriger,\n \nLa messagerie X n’est plus disponible. Aussi je vous propose de nous contacter via Messenger : \n👉 https://t.co/TCuXNlJCxS\n \nVous avez également à votre disposition : le 3244, votre Assistance Espace Abonné Free, et bien sûr notre compte Instagram.\n \nMaxime - Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1.9167521965462405e+18,,,[],0,0,0,0,0,353.0,False,False,False,https://twitter.com/Freebox/status/1916820292158021840,"Bonjour ThomasTriger,\n \nLa messagerie X nest plus disponible. Aussi je vous propose de nous contacter via Messenger : \n \nVous avez galement votre disposition : le 3244, votre Assistance Espace Abonn Free, et bien sr notre compte Instagram.\n \nMaxime - Free",positif,0.765,support,False,False,261
1916926696172761285,2025-04-28 20:45:13 +02:00,":\n\n@Free_1337 @Freebox Bonjour, j’ai souscrit à une Freebox par démarchage à domicile. On ne m’a pas précisé que Netflix et Disney+ sont avec publicité. Je souhaite exercer mon droit de rétractation immédiatement. Merci de m’indiquer la procédure urgente.",[],JulienReview,Flamøs,https://pbs.twimg.com/profile_images/1291073821743685634/V3SQw7XA_normal.jpg,1157217894138339328,,,,[],0,0,0,0,1,407.0,False,False,False,https://twitter.com/JulienReview/status/1916926696172761285,":\n\n Bonjour, jai souscrit une Freebox par dmarchage domicile. On ne ma pas prcis que Netflix et Disney+ sont avec publicit. Je souhaite exercer mon droit de rtractation immdiatement. Merci de mindiquer la procdure urgente.",neutre,0.0,equipement,True,False,224
